foodIndate,ingredientIndate,quantity
2025-07-10T10:12:17.542Z,2025-07-10T10:12:20.331Z,1
2025-07-10T10:12:17.542Z,2025-07-10T10:12:20.503Z,1
2025-07-10T10:12:18.151Z,2025-07-10T10:12:21.256Z,1
2025-07-10T10:12:18.151Z,2025-07-10T10:12:21.889Z,1
2025-07-10T10:12:18.151Z,2025-07-10T10:12:20.648Z,1
2025-07-10T10:12:19.387Z,2025-07-10T10:12:23.030Z,1
2025-07-10T10:12:19.387Z,2025-07-10T10:12:23.303Z,1
2025-07-10T10:12:18.559Z,2025-07-10T10:12:21.629Z,1
2025-07-10T10:12:18.559Z,2025-07-10T10:12:21.381Z,1
2025-07-10T10:12:19.817Z,2025-07-10T10:12:23.567Z,1
2025-07-10T10:12:19.817Z,2025-07-10T10:12:22.023Z,1
2025-07-10T10:12:18.021Z,2025-07-10T10:12:20.922Z,1
2025-07-10T10:12:18.021Z,2025-07-10T10:12:20.648Z,1
2025-07-10T10:12:18.294Z,2025-07-10T10:12:21.889Z,1
2025-07-10T10:12:18.294Z,2025-07-10T10:12:21.629Z,1
2025-07-10T10:12:18.432Z,2025-07-10T10:12:21.752Z,1
2025-07-10T10:12:18.432Z,2025-07-10T10:12:20.503Z,1
2025-07-10T10:12:19.532Z,2025-07-10T10:12:22.892Z,1
2025-07-10T10:12:19.532Z,2025-07-10T10:12:23.438Z,1
2025-07-10T10:12:19.248Z,2025-07-10T10:12:22.178Z,1
2025-07-10T10:12:19.248Z,2025-07-10T10:12:22.751Z,1
2025-07-10T10:12:19.945Z,2025-07-10T10:12:23.696Z,1
2025-07-10T10:12:19.945Z,2025-07-10T10:12:22.621Z,1
2025-07-10T10:12:17.887Z,2025-07-10T10:12:20.779Z,1
2025-07-10T10:12:17.887Z,2025-07-10T10:12:21.050Z,1
2025-07-10T10:12:19.686Z,2025-07-10T10:12:23.171Z,1
2025-07-10T10:12:19.686Z,2025-07-10T10:12:22.621Z,1
2025-07-10T10:12:19.686Z,2025-07-10T10:12:22.023Z,1
2025-07-10T10:12:18.952Z,2025-07-10T10:12:21.889Z,1
2025-07-10T10:12:18.952Z,2025-07-10T10:12:22.317Z,1
2025-07-10T10:12:18.952Z,2025-07-10T10:12:21.050Z,1
2025-07-10T10:12:19.112Z,2025-07-10T10:12:22.478Z,1
2025-07-10T10:12:19.112Z,2025-07-10T10:12:21.256Z,1
2025-07-10T10:12:19.112Z,2025-07-10T10:12:22.751Z,1
2025-07-10T10:12:18.798Z,2025-07-10T10:12:21.498Z,1
2025-07-10T10:12:18.798Z,2025-07-10T10:12:20.331Z,1